tag,stage,T,accuracy,ece15,mce15,nll,brier,mean_confidence,overconfidence_gap
A_mnist_mlp,before,1.7530910756539786,0.9846,0.00848616881370549,0.37228235602378845,0.05733237415552139,0.024433599715817364,0.9929899573326111,0.008389957332611053
A_mnist_mlp,after,1.7530910756539786,0.9846,0.003081302568316481,0.2681633770465851,0.04709950089454651,0.022940419264779386,0.9840630888938904,-0.0005369111061096499
B_mnist_mlp_overtrained,before,5.123815759528279,0.9842,0.01415059406161312,0.5210733782677424,0.15061305463314056,0.028860556755055614,0.9977022409439087,0.013502240943908728
B_mnist_mlp_overtrained,after,5.123815759528279,0.9842,0.0034700179576873384,0.31141480803489685,0.04679926857352257,0.022603471890208386,0.9853662848472595,0.0011662848472595577
C_fashion_smallcnn,before,0.980490601363557,0.9194,0.005254817783832544,0.2633562684059143,0.22424110770225525,0.11727154575988473,0.922981858253479,0.003581858253479009
C_fashion_smallcnn,after,0.980490601363557,0.9194,0.007051293262839282,0.2655131220817566,0.2245461493730545,0.11733816422285062,0.9247503876686096,0.005350387668609624
D_cifar10_smallcnn,before,0.8930333587625596,0.7684,0.03334846270382404,0.14373769362767536,0.6724568605422974,0.3273208897254309,0.7350515723228455,-0.03334842767715451
D_cifar10_smallcnn,after,0.8930333587625596,0.7684,0.012014898589253439,0.1842154860496521,0.6696524620056152,0.32547907407818605,0.7614548802375793,-0.006945119762420626
E_cifar10_resnet18,before,3.0379519703459543,0.8674,0.09718550927937031,0.34442441203438867,0.7453050017356873,0.22558535030337515,0.9645854234695435,0.09718542346954351
E_cifar10_resnet18,after,3.0379519703459543,0.8674,0.010257242339849504,0.08606720359429071,0.40153804421424866,0.19241592719899978,0.8697093725204468,0.0023093725204468285
F_cifar100_resnet18,before,2.4708635321118426,0.5869,0.25464979865252974,0.4424502031203428,2.4075262546539307,0.6417356026706852,0.841549813747406,0.25464981374740603
F_cifar100_resnet18,after,2.4708635321118426,0.5869,0.014903763020038614,0.055131695871278086,1.55720055103302,0.5367295922260489,0.5944609642028809,0.007560964202880882
G_cifar10_resnet18_ls,before,0.8292392779848001,0.873,0.05676508276760581,0.13101664185523987,0.49612128734588623,0.19708788531026025,0.8302427530288696,-0.04275724697113037
G_cifar10_resnet18_ls,after,0.8292392779848001,0.873,0.03400791009068486,0.18764658272266388,0.475712388753891,0.19747658255416795,0.8934093713760376,0.0204093713760376
